DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
837,50,snake,apple,deg15,deg-15,Left,False
1065,100,banana,snake,deg-15,deg15,Left,True
1266,50,banana,spider,deg15,deg-15,Right,True
964,100,apple,spider,deg15,deg-15,Right,True
1233,50,spider,banana,deg-15,deg15,Left,True
847,100,spider,apple,deg-15,deg15,Right,False
1784,0,snake,banana,deg-15,deg15,Right,True
792,25,snake,banana,deg-15,deg15,Left,True
661,50,snake,banana,deg-15,deg15,Left,True
991,100,apple,spider,deg-15,deg15,Left,True
1970,50,apple,snake,deg15,deg-15,Left,False
1048,50,spider,banana,deg-15,deg15,Left,True
977,0,banana,snake,deg15,deg-15,Right,True
1419,25,apple,spider,deg-15,deg15,Right,False
1279,50,snake,apple,deg-15,deg15,Left,True
790,25,snake,banana,deg-15,deg15,Left,True
949,50,banana,snake,deg-15,deg15,Right,False
